iter	Passed	Remaining
0	506	506168
1	875	436981
2	1196	397789
3	1528	380655
4	1965	391230
5	2483	411365
6	3083	437449
7	3582	444229
8	4152	457203
9	4505	446050
10	4815	432960
11	5107	420529
12	5485	416502
13	5774	406684
14	6213	407992
15	6749	415083
16	7046	407432
17	7607	415006
18	8081	417247
19	8600	421423
20	8949	417212
21	9245	411019
22	9578	406872
23	9875	401585
24	10396	405447
25	10931	409499
26	11213	404090
27	11599	402664
28	11909	398755
29	12256	396298
30	12567	392839
31	12871	389350
32	13225	387536
33	13594	386254
34	13888	382930
35	14184	379818
36	14456	376264
37	14770	373930
38	15045	370738
39	15337	368099
40	15743	368250
41	16019	365399
42	16364	364212
43	16646	361678
44	17080	362493
45	17306	358915
46	17764	360210
47	18060	358196
48	18369	356513
49	18663	354610
50	18948	352587
51	19216	350336
52	19505	348515
53	19754	346070
54	20044	344402
55	20375	343480
56	20632	341338
57	21053	341930
58	21339	340349
59	21613	338615
60	21879	336806
61	22185	335645
62	22490	334504
63	22758	332836
64	23018	331105
65	23276	329392
66	23553	327993
67	23873	327211
68	24154	325904
69	24646	327450
70	25085	328234
71	25490	328548
72	26214	332894
73	26579	332607
74	27080	333993
75	27407	333214
76	27738	332497
77	28207	333426
78	28634	333824
79	29089	334524
80	29548	335244
81	29935	335131
82	30321	335001
83	30725	335051
84	31105	334841
85	31480	334571
86	32057	336423
87	32372	335500
88	32679	334505
89	32974	333405
90	33418	333816
91	33932	334900
92	34484	336317
93	34828	335691
94	35194	335273
95	35665	335848
96	36016	335286
97	36373	334786
98	36706	334068
99	37106	333956
100	37506	333844
101	37877	333470
102	38393	334362
103	38746	333818
104	39075	333075
105	39400	332298
106	39719	331491
107	40012	330474
108	40283	329289
109	40827	330330
110	41129	329409
111	41428	328467
112	41926	329107
113	42211	328062
114	42477	326890
115	42815	326283
116	43231	326269
117	43542	325465
118	43880	324865
119	44299	324865
120	44620	324142
121	44879	322987
122	45147	321906
123	45442	321031
124	45740	320186
125	46025	319258
